Linked article,Linked article,Day,Sales quantity,Sales value gross,Sales value net,,
381903,Milk Chocolate Digestives,03/01/2022,"29,639","13,337.08 GBP","11,114.23 GBP",,
381903,Milk Chocolate Digestives,04/01/2022,"29,779","13,399.32 GBP","11,166.10 GBP",,
381903,Milk Chocolate Digestives,05/01/2022,"28,364","12,763.41 GBP","10,636.18 GBP",,
381903,Milk Chocolate Digestives,06/01/2022,"31,144","14,013.55 GBP","11,677.96 GBP",,
381903,Milk Chocolate Digestives,07/01/2022,"40,657","18,294.60 GBP","15,245.50 GBP",,
381903,Milk Chocolate Digestives,08/01/2022,"44,332","19,948.52 GBP","16,623.77 GBP",,
381903,Milk Chocolate Digestives,09/01/2022,"30,125","13,556.01 GBP","11,296.68 GBP",,
381903,Milk Chocolate Digestives,10/01/2022,"35,771","16,095.68 GBP","13,413.07 GBP",,
381903,Milk Chocolate Digestives,11/01/2022,"32,293","14,530.77 GBP","12,108.98 GBP",,
381903,Milk Chocolate Digestives,12/01/2022,"32,177","14,479.11 GBP","12,065.93 GBP",,
381903,Milk Chocolate Digestives,13/01/2022,"37,262","16,767.11 GBP","13,972.59 GBP",,
381903,Milk Chocolate Digestives,14/01/2022,"48,552","21,845.63 GBP","18,204.69 GBP",,
381903,Milk Chocolate Digestives,15/01/2022,"49,669","22,350.75 GBP","18,625.63 GBP",,
381903,Milk Chocolate Digestives,16/01/2022,"34,287","15,428.30 GBP","12,856.92 GBP",,
381903,Milk Chocolate Digestives,17/01/2022,"41,591","18,714.69 GBP","15,595.58 GBP",,
381903,Milk Chocolate Digestives,18/01/2022,"36,606","16,471.81 GBP","13,726.51 GBP",,
381903,Milk Chocolate Digestives,19/01/2022,"35,437","15,945.99 GBP","13,288.33 GBP",,
381903,Milk Chocolate Digestives,20/01/2022,"40,865","18,388.36 GBP","15,323.63 GBP",,
381903,Milk Chocolate Digestives,21/01/2022,"50,898","22,903.30 GBP","19,086.08 GBP",,
381903,Milk Chocolate Digestives,22/01/2022,"52,268","23,519.97 GBP","19,599.97 GBP",,
381903,Milk Chocolate Digestives,23/01/2022,"36,556","16,449.87 GBP","13,708.23 GBP",,
381903,Milk Chocolate Digestives,24/01/2022,"43,836","19,725.18 GBP","16,437.65 GBP",,
381903,Milk Chocolate Digestives,25/01/2022,"39,131","17,608.41 GBP","14,673.68 GBP",,
381903,Milk Chocolate Digestives,26/01/2022,"36,932","16,618.26 GBP","13,848.55 GBP",,
381903,Milk Chocolate Digestives,27/01/2022,"43,131","19,408.18 GBP","16,173.48 GBP",,
